age,gender
35,F
26,M
19,M
23,F
35,M
22,F
37,M
38,M
44,F
20,M
28,F
26,M
26,M
33,F
33,M
30,F
36,M
28,F
24,M
50,F
27,M
25,F
36,F
38,F
12,F
21,M
24,M
17,F
17,M
25,F
28,F
24,F
57,M
25,F
25,M
20,F
40,M
10,M
10,F
29,F
25,F
29,M
31,F
34,M
49,F
11,M
20,F
24,F
26,M
28,F
30,M
18,F
39,F
20,M
44,M
44,F
25,F
28,M
28,M
29,M
28,F
26,F
25,M
50,M
20,F
20,F
31,M
31,F
32,F
27,M
30,F
32,M
20,N/A
18,N/A
18,N/A
29,N/A
30,N/A
26,N/A
24,N/A
24,N/A
29,N/A
25,N/A
32,N/A
33,N/A
33,N/A
35,N/A
17,N/A
25,N/A
45,N/A
24,N/A
22,N/A
32,N/A
29,N/A
30,N/A
32,N/A
